0.80657,0.019227,0.73503
0.93183,0.85617,0.93195
0.96967,0.015995,0.96602
0.83394,0.026254,0.82306
0.99369,0.016355,0.9806
0.018582,0.015898,0.97945
0.78935,0.80258,0.81779
0.0056086,0.96207,0.96264
0.84739,0.9131,0.88853
0.78907,0.011701,0.81116
0.91795,0.89233,0.85599
0.0079907,0.9196,0.97034
0.71127,0.009863,0.81268
0.99694,0.98599,0.99807
0.99429,0.99493,0.99481
0.836,0.012668,0.83416
0.93278,0.010706,0.94985
0.013845,0.011929,0.8897
0.98453,0.019629,0.92037
0.79895,0.82105,0.80086
0.94215,0.014953,0.94282
0.9951,0.99599,0.99874
0.98461,0.96072,0.99446
0.0068022,0.76479,0.86355
0.94329,0.021629,0.94558
0.84793,0.031846,0.79453
0.03816,0.89345,0.88722
0.97004,0.013762,0.96827
0.016822,0.011138,0.90699
0.01513,0.020242,0.99437
0.82115,0.0095165,0.77999
0.01883,0.93422,0.92819
0.98907,0.99564,0.98838
0.9445,0.01995,0.9259
0.88313,0.87912,0.9057
0.97123,0.0074474,0.97178
0.013289,0.7825,0.84431
0.97925,0.98804,0.9713
0.0069065,0.77877,0.78065
0.93362,0.018571,0.93399
0.67387,0.76539,0.70142
0.9971,0.98953,0.99632
0.81809,0.75643,0.75929
0.73687,0.72581,0.63109
0.99623,0.019833,0.9979
0.88787,0.031158,0.87798
0.0089575,0.97058,0.93334
0.020517,0.82902,0.68984
0.702,0.014175,0.79131
0.93421,0.88167,0.90216
